Sr. No.,Class Sr. No.,Class(20-21),Div,Last Name,First Name,Middle Name,Gender,Teams ID,Date of Birth,Phone Number,House,Access Level,Parent Phone Number
1,123,123,123,Champaneriya,Kartik,N,Male,kartikfinlitetech@gmail.com,2021-01-07,9824371611,1,1,9824371612
2,1,6,A,Prajapati,Shubham,S,Male,shubham@finlitetech.com,2009-01-21,9714594100,4,4,9714595100
3,2,7,B,Silawat,Aamil,A,Male,aamil@finlitetech.com,2009-01-21,9714594101,3,4,9714595101
4,3,8,C,Suthar,Nikunj,N,Male,nikunj@finlitetech.com,2009-01-21,9714594102,2,3,9714595102
5,4,11,A,Bhavsar,Kunjan,K,Female,kunjan@finlitetech.com,2009-01-21,9714594103,4,4,9714595103
6,5,6,B,Vardani,Anjana,A,Female,anjana@finlitetech.com,2009-01-21,9824371611,3,3,9824371611
7,6,7,C,Gogar,Akanksha,A,Female,akanksha@finlitetech.com,2009-01-21,9714594105,1,3,9714595105
8,7,8,A,Jain,Piyush,P,Male,piyush@finlitetech.com,2009-01-21,9714594106,2,4,9714595106
9,8,11,B,Patel,Kaushik,K,Male,kaushik@finlitetech.com,2009-01-21,9714594107,4,4,9714595107
10,9,12,C,Shah,Hardik,H,Male,hardik@finlitetech.com,2009-01-21,9714594108,1,3,9714595108
11,10,13,A,Champaneriya,Kartik,K,Male,kartik@finlitetech.com,2009-01-21,9714594109,3,3,9714595109
12,11,14,A,Shihora,Akshay,A,Male,akshay@finlitetech.com,2009-01-21,9714594110,4,4,9714595110
13,12,15,A,Kothari,Riteshsir,B,Male,ritesh@finlitetech.com,2009-01-21,9898989898,2,2,9714595111
