Sr. No.,Class Sr. No.,Class(20-21),Div,Last Name,First Name,Middle Name,Gender,Teams ID,Date of Birth,Phone Number,House,Access Level,Parent Phone Number
1,5,5,123,Champaneriya,Kartik,N,Male,admin@gmail.com,07-01-2021,9824371612,Jaguars,Administrator,7778966606
2,5,5,123,Champaneriya,Kartik,N,Male,admin@gmail.com,07-01-2021,9824371612,Jaguars,Administrator,7778966606
3,5,5,123,Champaneriya,Kartik,N,Male,admin@gmail.com,07-01-2021,9824371612,Jaguars,Administrator,7778966606
4,5,5,123,Champaneriya,Kartik,N,Male,admin@gmail.com,07-01-2021,9824371612,Jaguars,Administrator,7778966606
5,5,5,123,Champaneriya,Kartik,N,Male,admin@gmail.com,07-01-2021,9824371612,Jaguars,Administrator,7778966606
6,5,5,123,Champaneriya,Kartik,N,Male,admin@gmail.com,07-01-2021,9824371612,Jaguars,Administrator,7778966606
7,5,5,123,Champaneriya,Kartik,N,Male,admin@gmail.com,07-01-2021,9824371612,Jaguars,Administrator,7778966606
8,5,5,123,Champaneriya,Kartik,N,Male,admin@gmail.com,07-01-2021,9824371612,Jaguars,Administrator,7778966606
9,5,5,123,Champaneriya,Kartik,N,Male,admin@gmail.com,07-01-2021,9824371612,Jaguars,Administrator,7778966606
10,1,6,A,Prajapati,Shubham,S,Male,kartikfinlitetech@gmail.com,21-01-2009,9714594101,Lions,Student,9714595101
11,3,8,C,Suthar,Nikunj,N,Male,nikunj@gmail.com,21-01-2009,9714594102,Lions,House Captain,9714595102
12,2,7,B,Silawat,Aamil,A,Male,aamil@gmail.com,21-01-2009,9820192186,Panthers,Student,9820192187
